,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age_Months,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Creative_professionals,Business_professionals,Technical_professionals,Service_professionals,Early_months,Spring_months,Summer_months,Good_credit_mix,Standard_credit_mix,Small_value_payments,Medium_value_payments,Large_value_payments,Credit_Score
0,28,10.45874643435392,8.01895029429377,2,4,6,1,7,1,7.42,2,6.405278043578317,38.5508484339563,320,0,2.9347189754101652,3.698612876011657,6.183305678348094,0,0,0,1,1,0,0,1,0,0,0,0,Good
1,54,10.331688563377968,7.86805938749498,2,5,4,1,0,6,1.99,4,6.449616977495153,26.544228724073,207,0,2.798223065642023,4.39727058686858,6.072133457820322,0,1,0,0,1,0,0,1,0,0,0,1,Standard
2,23,11.6512812887891,9.19460395144474,2,5,7,3,11,11,11.24,8,7.228199754526153,29.819186633421,260,0,5.424477623637046,6.476679034002452,5.907225488855328,0,0,0,1,0,1,0,1,0,1,0,0,Standard
3,44,10.353632802931594,7.946346236039895,1,6,12,2,2,0,-1.24,2,6.043653690103315,28.2204809569855,318,0,3.841946598700463,5.699588590308586,5.42566665468303,1,0,0,0,1,0,0,1,0,1,0,0,Good
4,40,10.426773325222328,7.989087738753764,5,5,20,3,16,20,11.0,4,7.192129386144731,30.9080806334675,231,1,4.174513020242812,4.250366032755518,5.99076763213399,0,0,0,1,1,0,0,0,1,0,0,0,Standard
5,33,11.392341209558673,8.89105571239886,3,6,1,2,4,0,3.51,3,6.856840860180587,34.6701943792277,307,0,4.906558183941278,5.697727216738122,6.297673404330454,0,0,1,0,0,1,0,1,0,0,1,0,Standard
6,35,10.903975304811029,8.469405324778775,6,4,14,3,10,8,5.54,3,5.188614101456073,25.6492460672434,322,1,4.823438532145494,5.496083364060776,5.936323016133731,0,1,0,0,1,0,0,0,1,0,0,1,Standard
7,39,9.071255875083008,6.252151925618542,6,5,32,7,23,9,8.86,6,7.8643008045485665,39.9025175970918,108,1,3.598631859983021,3.5471765925230767,5.5240556043218785,0,1,0,0,1,0,0,0,1,0,0,1,Poor
8,36,10.148246205269555,7.789808540697349,8,7,14,5,16,14,7.83,5,6.631263692166003,37.418209168836,218,0,4.618369069860195,3.9722635367875103,5.820534648856811,0,1,0,0,1,0,0,0,1,0,1,0,Standard
9,30,10.373296787888595,7.9868953191063286,6,6,7,2,8,14,6.28,0,6.707131249097798,25.3695967923919,202,1,3.809797530936745,4.406705040542622,6.102725694860932,0,0,1,0,1,0,0,0,1,0,1,0,Standard
10,45,10.382346234819392,7.971908964298362,6,7,17,6,11,12,9.22,8,7.157244709634136,28.9408925885454,77,1,4.6350935854003295,5.540720711925511,5.356300028781453,0,0,0,1,1,0,0,0,1,0,1,0,Standard
