Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age_Months,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Creative_professionals,Business_professionals,Technical_professionals,Service_professionals,Early_months,Spring_months,Summer_months,Good_credit_mix,Standard_credit_mix,Small_value_payments,Medium_value_payments,Large_value_payments
49,11.985762825404558,9.519820872905,3,7,2,2,6,0,2.63,2,6.6514943512051,40.697796161354,307,0,5.128237569232666,5.773352706200151,7.023209645882205,0,0,0,1,1,0,0,1,0,0,1,0
21,11.307360746624035,8.863034967916239,1,4,10,2,9,2,8.46,1,7.221850434385534,43.4386465829374,253,0,4.798913800759685,4.3769314958380265,6.6142128277401,0,0,0,1,0,0,1,1,0,0,0,0
35,10.484895024696344,8.01464102579115,4,4,10,4,6,12,1.23,2,6.985826814402293,32.4481095260534,343,1,4.108349634287367,5.758888122400954,5.369010866274681,0,1,0,0,1,0,0,0,1,1,0,0
23,11.760304470735413,9.249003557945187,4,6,6,4,0,8,5.38,2,6.912185451261452,26.8861835945105,233,0,5.903718717609234,4.486447931268277,6.714434360524142,0,0,0,1,0,0,1,1,0,0,0,0
23,10.695839817900518,8.220665668617071,1,7,10,4,3,11,1.58,4,5.846727750641299,27.9095550086361,387,0,4.618767759426239,4.16043179836206,6.122995631964647,0,0,1,0,0,0,1,1,0,0,1,0
47,9.957632876019504,7.403302784406819,3,3,16,4,12,11,21.11,9,7.27220392921883,30.21431340699,373,1,3.7467565837569565,3.5048491838966638,5.853580409210403,0,0,1,0,0,0,1,0,1,1,0,0
32,9.45763004511847,7.080131713242694,4,7,20,2,24,19,1.92,4,7.2273864984073235,31.7024781714601,356,0,2.778529707404614,4.389455458049543,5.743389787658799,0,1,0,0,0,1,0,0,1,1,0,0
41,10.2421855246551,7.782195362452993,5,5,7,1,25,1,5.74,3,6.733223304463012,26.9668763921786,218,0,2.69699834269114,5.264167976235147,5.709210023377072,0,0,1,0,0,1,0,1,0,0,0,1
27,8.875347939903934,6.276868244784001,8,9,24,2,44,11,16.98,10,7.148950906664089,40.2368714879464,165,1,1.9536566891632252,3.898047516642582,5.658964437929966,0,0,0,1,0,1,0,0,1,1,0,0
25,10.877755263134565,8.359925742840845,8,7,16,8,35,23,26.85,10,8.168735819129992,36.9869337183528,142,1,5.674041717087502,4.978433747321716,5.483891526214565,0,1,0,0,1,0,0,0,0,0,1,0
38,10.424776741764504,8.03170902118831,3,5,19,4,17,17,11.23,2,7.237612829581823,24.1866942941665,271,0,4.717700379128148,5.718045952535766,5.201141447539795,0,0,1,0,0,1,0,0,1,1,0,0
48,11.356042505865194,8.866915471505195,2,5,9,2,10,5,10.96,3,7.211726460606727,38.370614723002,303,0,4.337366117596792,5.923719332946449,6.289774135730937,0,0,0,1,1,0,0,1,0,0,1,0
38,10.983016914861185,8.438688799927409,9,7,25,6,31,14,26.67,11,7.201111224529722,28.9002344064023,239,1,5.3768763054979525,4.079851167169522,6.056237987026751,1,0,0,0,1,0,0,0,1,0,0,0
18,8.967287437667606,6.270090107881196,10,10,21,8,32,15,23.06,7,8.1377144927286,34.3468653114187,21,1,3.71283283556741,3.5594592004647985,5.586269194730193,0,0,0,1,1,0,0,0,0,1,0,0
47,9.774389745600956,7.474666296663603,3,5,19,2,25,11,9.58,0,7.277890229235687,34.7589745467385,381,1,3.3774327771578196,5.364361692669525,5.408655213748888,0,0,0,1,1,0,0,0,1,1,0,0
39,11.430282604828207,8.916684827143214,4,4,18,2,24,12,3.81,4,7.243470085968791,31.628753052543,316,0,5.028158446231023,5.857315232740428,6.22078462099624,0,0,1,0,0,1,0,0,1,1,0,0
33,11.401154445871072,8.937885114263032,5,5,4,4,20,10,5.12,4,6.7323298888760235,31.8356776310476,306,0,5.0319108773409145,5.971427125795259,6.207013682136428,0,1,0,0,0,1,0,1,0,0,1,0
34,9.674542831930548,7.248234358428763,6,6,16,4,19,15,17.03,7,7.831911000579429,25.555362630973,162,1,3.334595799471427,4.739927492701015,5.663200529264213,0,0,0,1,1,0,0,0,1,1,0,0
27,10.630174919487184,8.205772917445575,1,7,10,3,10,4,4.41,3,4.846389384029531,34.6836581802243,263,0,4.116632906514378,3.3078849834741133,6.249054776686597,0,0,1,0,1,0,0,1,0,0,0,0
41,10.781968000134398,8.292564788254952,7,6,28,6,25,22,4.59,7,8.055367233682155,31.1671019088317,84,0,5.381127197290946,4.537660791910485,5.854118934602514,1,0,0,0,1,0,0,0,0,1,0,0
15,10.7510659449991,8.320930101507242,5,4,8,3,15,22,11.19,6,6.444544525823993,39.1245817901669,68,1,4.309640089077187,3.7954356406720295,6.276618453367348,1,0,0,0,0,1,0,0,1,0,0,0
28,11.206715744091172,8.685968127897546,5,3,5,2,11,12,11.52,4,4.310530632968812,25.4205441271418,381,0,4.520978999499986,6.085719935300488,5.830312764854013,0,0,0,0,0,1,0,1,0,0,1,0
44,10.39716071022447,7.823861327136636,3,6,9,3,27,10,10.1,8,6.255941961915169,35.6518344695219,200,1,3.990013495135633,4.257376027946902,5.927655868615787,0,1,0,0,1,0,0,0,1,0,1,0
42,11.242227935094213,8.771999737372573,6,10,18,6,24,12,11.69,9,7.5793314696139396,29.7559566738617,235,1,5.4069879083024635,4.678531105838719,6.318130126275099,0,0,0,1,1,0,0,0,1,0,0,0
43,11.75677147390597,9.250480373992408,5,6,7,4,6,10,1.9,3,7.142368797995546,33.2188973508042,310,0,5.789072283170087,5.477468366370104,6.586180536313042,1,0,0,0,1,0,0,1,0,0,1,0
41,9.651923950356842,7.341466569863417,7,9,32,7,60,12,1.99,11,7.414693356020935,28.7012749775093,160,0,4.463652010092587,4.276133909269592,5.654353064735849,0,0,1,0,1,0,0,0,0,1,0,0
22,9.55317802059355,6.952840174415381,8,9,26,9,57,27,19.9,10,8.323300142396842,34.8717936565078,18,1,4.631311416558776,3.4143592017928945,5.527703834957628,1,0,0,0,0,1,0,0,0,0,1,0
43,10.907821029357086,8.417846776964979,7,7,33,7,58,15,1.65,9,8.206638183091059,31.5169921399573,53,1,5.5053343263415995,4.6377838968834,5.86759681583556,0,0,1,0,0,1,0,0,0,0,1,0
20,9.810750908346403,7.458218355976275,5,5,19,4,24,18,14.26,7,7.812418674615313,37.7367074725349,170,1,3.7003348672703553,4.631805879930466,5.670726678211904,0,0,1,0,0,1,0,0,1,1,0,0
34,9.949666214461926,7.347580481767216,10,7,20,9,40,23,23.42,11,8.43869096326128,38.5272077128749,28,1,5.018606507437606,3.082395463276738,5.403724296723675,1,0,0,0,1,0,0,0,0,0,0,0
30,11.752876731933974,9.291941249687406,5,4,7,4,28,13,10.27,3,6.748865051890724,34.3390641520762,273,0,5.510240682215094,6.900652104232278,4.904460034693962,0,0,0,1,0,0,1,0,1,1,0,0
39,10.680892697923104,8.198464797581352,8,5,18,3,12,9,4.98,4,5.382520637830111,27.1982522302123,326,0,4.633919023672169,5.344965379626312,5.832085573432772,0,0,1,0,0,1,0,0,1,1,0,0
52,9.677106578920952,7.39327771004165,4,4,5,3,8,11,3.42,2,6.973936200641278,23.2648716774991,298,0,3.1702405241891607,4.634965889449122,5.689226244791573,0,0,1,0,0,1,0,1,0,1,0,0
44,9.679661580926146,6.99064661775841,5,4,2,4,11,16,0.5,3,6.501019363740528,37.7947257168482,232,0,3.520372651558853,3.84885795177577,5.761755517785936,0,1,0,0,0,1,0,1,0,1,0,0
47,10.944031013062927,8.498810255880636,5,6,1,1,11,10,2.77,5,7.065322971309862,40.7528228743122,238,0,3.820321986556926,5.128423638591875,6.266294463604634,0,1,0,0,0,1,0,1,0,0,1,0
34,10.942008306438316,8.469135009282576,2,3,4,2,11,3,3.86,3,6.899702945791309,41.8557928777995,388,0,4.369592387799372,5.4108763839147755,6.117436378070155,1,0,0,0,1,0,0,1,0,0,1,0
21,9.619204031792961,7.0529419735003405,5,7,20,2,21,11,14.85,9,7.2831391150518465,23.4183118858827,373,0,3.1892370744244602,4.56529111379253,5.617734539537336,0,0,1,0,0,1,0,0,1,0,1,0
55,10.469794901952369,7.947059492000897,3,5,8,2,6,2,9.89,4,7.222449223680716,34.155534262261,185,0,3.8468975932982628,4.530773769812111,5.973929341288756,1,0,0,0,1,0,0,1,0,0,1,0
14,11.16453043346706,8.638318782652446,8,5,31,2,23,14,12.35,9,7.5823514486472074,25.4884808067277,102,1,4.567089070637283,5.7253109006881395,6.112777562026863,0,0,1,0,1,0,0,0,1,1,0,0
36,9.790838875970765,7.404344544990001,6,3,19,4,33,10,10.2,2,5.620726899518875,29.296278292177,326,1,3.738679108456071,4.209099805604689,5.814048131091637,0,1,0,0,0,1,0,0,1,0,1,0
16,11.027882103812779,8.549386868837928,8,5,31,5,35,13,5.15,6,7.338998589077006,28.8848527758314,131,1,5.035493906227915,5.839877086621501,5.630660150383706,1,0,0,0,1,0,0,0,0,1,0,0
41,11.203220798919489,8.691291586053188,8,9,27,8,49,18,23.68,11,8.301362833396253,37.1299625620068,60,1,5.653781468597665,4.9243669500703335,6.068693117459768,0,1,0,0,0,1,0,0,0,1,0,0
19,11.00501109937681,8.499554032134501,9,8,26,5,29,19,9.18,6,8.011510984242648,30.2095864448036,6,1,4.911878409431138,6.026834374642722,5.442254050654534,0,1,0,0,0,1,0,0,0,1,0,0
20,11.26713949797496,8.794129736930232,8,5,9,3,23,9,9.2,5,7.258003616452371,33.2345513203289,397,0,5.21698578642992,5.354479577093031,6.241464010164385,1,0,0,0,0,0,1,0,1,0,1,0
28,9.642054604259053,7.344877848604041,1,7,5,4,1,0,8.41,3,5.8401764328942,39.0664076488674,340,0,3.550018738878606,4.312847061163362,5.753708139700148,0,0,1,0,1,0,0,1,0,0,0,1
38,10.38198655618419,7.937523792190787,1,4,2,3,10,4,3.06,3,7.21671682882641,23.2302300770748,185,0,4.175043317158934,4.755596881780663,5.962977833975384,0,0,0,0,0,1,0,1,0,1,0,0
21,9.018686403377755,6.723824928773762,9,5,15,5,40,19,18.84,11,7.870857075041537,23.7957895933823,212,1,3.4341075934744496,4.110799139287878,5.602857296347611,1,0,0,0,0,1,0,0,1,0,1,0
30,9.681228609840316,7.246021144184695,7,6,29,9,26,24,12.47,6,7.154623169383146,37.466182360204,109,1,4.3336660184532825,4.447228071909143,5.593365499300215,0,0,1,0,1,0,0,0,0,1,0,0
25,9.007947527800159,6.648524599704258,9,10,19,5,39,17,24.7,9,8.374638352533987,39.048998431368,94,1,3.1411029739979144,3.379773929002757,5.751527661706315,0,0,1,0,1,0,0,0,0,1,0,0
39,11.05249411492712,8.565302806604416,3,4,3,4,2,8,9.19,5,4.167130231947748,38.0184525839785,199,0,5.138987261808718,5.980999779263006,5.430502630158485,1,0,0,0,0,1,0,1,0,0,0,1
36,11.17998657870808,8.665518364451884,3,6,15,1,8,6,10.44,0,7.164735846556329,29.682953869716,308,1,3.9875666345779877,4.92239510876069,6.459419741317482,0,1,0,0,1,0,0,0,1,0,1,0
25,10.940010230148234,8.41515898929038,7,6,24,7,24,15,16.01,8,8.17966800063331,32.0291076569402,35,1,5.487782754034091,4.068302920913412,5.969528205690339,0,0,1,0,0,0,1,0,0,0,0,0
32,11.056770459341372,8.618659534617175,6,6,8,3,30,18,4.77,7,6.6292839900584095,38.1627138803922,323,0,4.652719043844691,5.047303793541573,6.296969765684502,0,1,0,0,0,1,0,0,1,0,1,0
44,10.736622736873949,8.246748366984015,3,6,32,7,15,11,18.91,9,7.150379837250798,28.9986071432383,133,1,5.204616094297621,5.315111153795182,5.620480337055546,0,0,1,0,0,1,0,0,1,0,1,0
43,9.562823743536379,7.26016882270541,6,9,15,8,34,18,29.0,16,8.277417082820168,29.7755080255054,14,1,4.4158021552781905,4.648593148300714,5.459855784062767,0,0,0,1,0,1,0,0,0,0,1,0
39,10.95908064293209,8.359568355360924,2,7,5,3,13,0,2.79,5,6.555612904555809,38.5623718215741,368,0,5.996780125881434,5.2626549565026925,5.973645548886837,0,0,1,0,0,0,1,1,0,1,0,0
27,10.251974112980394,7.683189953488889,6,3,8,1,10,18,17.1,5,4.908971640319756,33.9126212600899,225,1,2.549857683225883,4.025302455059067,5.961909722341427,0,0,1,0,1,0,0,0,1,0,0,0
41,11.189821789598287,8.702923930339281,4,4,15,4,30,12,19.11,4,7.042679451238658,25.3780661684751,66,1,4.975232007494115,6.110263454668174,5.623328508988637,0,0,0,1,0,1,0,0,1,0,0,1
15,11.030164323622346,8.397064297611264,10,10,27,4,37,8,15.84,15,7.394382468031754,28.767873698515,183,1,6.537621318697239,5.26528193343748,5.947167017304804,0,0,1,0,0,1,0,0,1,0,1,0
17,10.22633995891886,7.68053085062912,5,6,20,4,18,19,9.35,6,6.320174592864931,33.9492741561057,201,1,4.135069359496109,5.188280796745199,5.50094271635624,0,0,0,1,1,0,0,0,1,0,0,1
16,10.480207652716679,7.962061501535874,6,6,30,7,48,17,22.12,10,8.304356343090667,26.4202375499336,15,1,4.825465628139132,4.423044644018307,5.796070428416952,0,0,1,0,1,0,0,0,0,0,1,0
22,9.94932240167988,7.547942426039081,6,9,23,5,19,16,0.84,9,7.413210507958124,39.9505647497547,116,0,4.030004047586942,5.015976576826434,5.531882854098163,0,0,1,0,1,0,0,0,0,0,0,1
36,11.319134869469922,8.804062934017447,3,5,8,4,17,14,1.71,2,7.1054333190967816,33.3896334894077,392,0,5.088268674793374,4.820120043650891,6.445777603122141,0,0,1,0,1,0,0,1,0,0,1,0
41,8.998311695942261,6.790229866388082,6,10,18,7,29,15,23.45,7,7.960260799949996,25.4522794523001,168,1,3.7365500050923686,3.241699454444949,5.708377358883756,0,0,0,1,0,1,0,0,0,0,1,0
21,10.948177128010686,8.466642077684824,3,6,5,4,27,9,12.94,4,5.304398836863904,27.5242623954049,115,1,4.907117191957043,5.1962680710311195,6.0149532745424015,0,0,1,0,0,1,0,0,1,0,1,0
40,9.949153317038762,7.389897951836801,6,7,7,7,28,16,14.95,5,6.456942325122317,30.5590724342211,183,1,4.453696572589244,4.404070207775887,5.649773077956348,0,0,0,0,1,0,0,0,1,1,0,0
39,10.211605507617952,7.629053718260787,3,5,11,7,4,16,10.78,11,6.803882544917095,22.032899620808,158,1,4.981939944167012,4.822004758069881,5.326610913251772,0,0,1,0,0,0,1,0,1,0,0,1
38,11.465849266122694,9.008361571317366,7,7,20,4,28,11,19.38,2,6.825796570283702,31.9436987242907,223,1,5.438495603205231,5.294806609960799,6.442090069330033,1,0,0,0,1,0,0,0,1,0,0,0
52,11.56452197338376,9.088691247620423,2,3,7,4,6,2,10.02,6,5.7725619900510265,40.5109760096811,332,0,5.183845693979106,6.12048715078938,6.2576775945758305,1,0,0,0,0,1,0,1,0,0,0,1
29,11.90076250770768,9.403567249020291,1,4,11,2,0,10,8.12,0,7.073583227632294,34.9305609802421,197,0,4.867477140253777,5.670516253409905,6.9498383778933075,0,0,0,1,1,0,0,1,0,0,1,0
22,9.806162444125887,7.285576228525962,4,3,10,1,3,10,6.36,2,7.0514139669987,38.9638801954564,193,0,2.552839593184453,4.53508233171622,5.767806655307101,0,1,0,0,0,1,0,1,0,0,1,0
21,10.846108384853629,8.289497419450113,8,7,20,5,51,25,0.59,14,7.806789978233637,25.6953076311873,215,1,5.098875875370131,4.489659168442136,6.004515374662282,0,0,1,0,0,1,0,0,0,1,0,0
19,9.57158953819048,7.150649822272513,8,7,18,6,18,17,21.91,9,8.469445184012748,23.7840578038823,101,1,4.11249088621667,3.863120449556008,5.630426536661139,0,0,1,0,0,1,0,0,0,1,0,0
23,9.796754984934262,7.2758253840913,6,5,32,9,61,25,8.9,13,7.141324295779929,38.7924976046945,148,1,4.336641178110623,5.227758495076105,5.145570728232163,0,0,0,1,0,0,1,0,0,1,0,0
32,11.205279296186845,8.765998511553423,6,7,7,2,11,16,6.02,3,7.0795044781710565,33.241409764816,352,1,4.118442293568475,5.125627772840173,6.494514505128261,1,0,0,0,1,0,0,0,1,0,1,0
30,10.018340076211473,7.680874395480588,7,7,8,3,24,19,14.67,7,5.609874644433234,31.1881348896454,278,1,3.4034627519992022,5.144195839204471,5.720802561452716,0,0,0,1,0,1,0,0,1,1,0,0
21,10.447498211341053,8.052775531553033,9,10,29,5,17,16,20.59,11,8.39044786413513,39.683036578393,161,1,4.78434059812878,3.634246888162886,6.008210357321283,0,0,1,0,1,0,0,0,0,0,1,0
43,9.146062616836204,6.707416889411378,5,3,12,6,23,14,11.6,4,7.448421218759011,21.9221544322862,81,1,3.7660609702524313,4.4570500443195895,5.490602037548167,1,0,0,0,1,0,0,0,1,1,0,0
44,10.568747473049154,8.148925597327407,3,2,1,4,16,6,1.54,4,7.286301297739038,25.3535853799908,307,0,4.644863006775197,4.263169408809768,6.042352803860084,0,0,0,1,0,0,1,1,0,0,1,0
45,11.348447205473748,8.835715041426749,5,1,8,4,4,0,4.05,2,6.323247233528621,26.0495866516815,242,0,5.616568183965968,6.206504363473773,5.281365100626121,0,0,1,0,1,0,0,1,0,0,1,0
54,10.185503226230422,7.641884041327611,4,6,13,1,19,16,1.11,3,7.048299523974445,27.540117936346,218,0,2.440939471168773,4.2409346688111595,6.0098200577739025,0,1,0,0,1,0,0,0,1,0,1,0
37,9.765468390636473,7.405983892527035,3,3,13,4,26,12,12.61,7,7.273855663568025,28.0463378162031,70,1,3.4405659466356924,4.456926680554196,5.820538632530774,0,0,1,0,0,1,0,0,1,1,0,0
44,9.234525538764538,7.031505659751551,8,5,18,8,50,15,16.29,12,8.501870394678148,29.7918236425287,115,1,3.631096858362056,4.219725857543721,5.5887617169858546,0,0,1,0,1,0,0,0,0,1,0,0
33,11.173295849068927,8.72137680027564,7,6,20,5,24,17,12.26,9,7.134819135846963,36.977407886718,185,1,5.461776595577686,4.914764091390109,6.176821167023164,0,0,1,0,0,0,1,0,1,0,0,0
28,10.838405515316339,8.320206424172436,8,7,8,5,12,18,16.11,6,7.789181236810164,37.4922928537703,146,1,5.349724959612501,4.777825362394514,5.802736756009258,0,1,0,0,1,0,0,0,1,0,1,0
54,10.689337653314777,8.187610533715034,1,2,11,2,13,8,1.99,0,5.127113775487929,30.0666615808282,360,0,3.944603127128474,4.251177293686251,6.1898400630046915,0,0,0,1,0,0,1,1,0,0,1,0
22,9.984048818043,7.5280586559391915,1,4,11,1,10,0,0.71,0,6.3722270425757745,38.3433884149998,396,0,2.442639949009911,3.7651551889155424,5.916944198005118,0,0,1,0,0,1,0,1,0,0,0,0
42,11.00573123968827,8.574176367680757,7,6,32,7,35,24,28.2,9,8.513701101160363,34.1592047838145,15,1,5.440799972861837,5.502025394461499,5.809655948065259,0,1,0,0,0,1,0,0,0,0,1,0
19,10.047922905323231,7.592691340383063,4,4,10,1,7,20,12.45,7,6.756036639346161,35.2948060893748,337,1,2.8681011350303303,5.283833457944508,5.574572567582244,0,0,1,0,0,1,0,0,1,0,1,0
49,11.4172463771277,8.927839962601697,5,3,15,1,29,19,7.83,4,6.916913216766902,37.8018071462015,213,0,3.9775917287373685,5.951309165393144,6.356545000668434,0,1,0,0,1,0,0,0,1,1,0,0
20,10.897219765672125,8.395288234803717,6,3,29,4,16,15,15.19,10,7.754314295062524,34.934352422051,236,1,4.7417272950174745,4.619960159413139,6.1452456456274565,1,0,0,0,1,0,0,0,1,0,0,0
34,9.75408197189782,7.151772452500133,3,5,12,4,1,0,0.5,0,7.226092639693535,32.5629065311041,373,0,3.662728151977387,5.106771321285214,5.363790435053323,0,1,0,0,0,0,1,1,0,1,0,0
38,10.307069221418978,7.796590877683883,4,5,6,3,1,5,11.1,3,5.852748307794748,35.4661335652698,313,0,4.133827660560892,4.132058901148765,5.909460074641265,0,1,0,0,0,1,0,1,0,0,1,0
44,11.319369113552598,8.861755708522557,2,7,2,4,7,8,6.26,1,6.597909393828634,32.0258800425931,225,0,4.989049154045945,5.549944914696137,6.312942798632641,0,0,0,0,1,0,0,1,0,0,1,0
29,10.399476860440876,7.974488108098616,5,3,5,3,21,12,15.08,3,7.243691657771469,26.5911308265986,380,1,3.8720662745707446,4.83677529179583,5.957088574830925,0,0,1,0,1,0,0,0,1,0,0,1
26,9.648790122638419,7.198870202452681,6,7,30,6,38,23,6.22,7,8.202972737323288,31.4277008248044,51,1,4.348140607319602,4.465920076886311,5.558588129904252,0,0,0,0,0,1,0,0,0,1,0,0
42,11.157375887568971,8.653104541360907,7,6,13,2,10,10,1.25,4,7.064750480746729,32.630864868689,281,0,4.272055809137556,5.546015361573674,6.282092429466902,1,0,0,0,1,0,0,0,1,1,0,0
45,10.69779368453177,8.260279545302755,2,6,11,1,10,1,2.64,2,5.8442108615745205,23.5321763159314,387,0,3.1638304243910405,6.132220988260994,5.260609001726462,0,0,1,0,0,1,0,1,0,1,0,0
37,9.644211514584528,7.09092369930814,2,6,7,4,10,2,3.27,3,7.298803629921982,27.7232169734601,194,0,3.4021011341861955,4.838589335793265,5.53648142359726,0,0,0,0,0,0,1,1,0,1,0,0
35,9.583888853692141,7.0091687653582655,6,4,20,2,7,18,10.84,8,4.213460043112263,39.2776846139195,105,1,2.7660399185544744,4.311798586497161,5.635515618497904,0,0,0,1,1,0,0,0,1,1,0,0
40,11.327555907738823,8.814970633707475,6,3,5,3,8,13,16.96,6,6.659575931196704,26.9946045087222,179,1,5.137937881795325,4.386803249884947,6.511275474462615,1,0,0,0,0,1,0,0,1,0,1,0
19,9.852116360377783,7.473756351812334,6,10,25,9,28,20,6.5,9,8.393838412386133,25.7385094500403,90,1,4.925133625413462,5.208179572476291,4.981221631955324,0,0,1,0,1,0,0,0,0,1,0,0
29,11.585666503295448,9.121410792776103,3,7,9,4,20,19,7.88,4,6.061317049006815,37.6927908150615,245,1,5.8553103074319806,6.005226195258225,6.0874201627513,0,0,0,1,1,0,0,0,1,0,1,0
